date	nDays	"DST (0=standard time, 1=DST)"	EntrainingLightONTime	EntrainingLightOFFTime	ProbingLightONTime	ProbingLightOFFTime
23-Aug-12	12	1	12	15	NaN	NaN
6-Sep-12	12	1	12	15	16	17
20-Sep-12	12	1	12	15	10	11
4-Oct-12	12	1	12	15	19	20
18-Oct-12	11	1	12	15	7	8
4-Nov-12	9	0	12	15	22	23
16-Nov-12	11	0	12	15	4	5
29-Nov-12	12	0	12	15	1	2
13-Dec-12	8	0	12	15	NaN	NaN
11-Feb-13	9	0	12	15	4	5
23-Feb-13	10	0	12	15	1	2
11-Mar-13	9	1	12	15	NaN	NaN
23-Mar-13	10	1	12	15	10	11
6-Apr-13	12	1	12	15	7	8	


